"timestamp","game","players","kills","headshots","servers","act_slots","max_slots"
1704542740,tf,87291,1476325,89873,5,4,125
1704542712,tf,87291,1476325,89873,5,5,125
1704542711,tf,87291,1476325,89873,5,5,125
1704542711,tf,87291,1476325,89873,5,5,125
1704542664,tf,87291,1476325,89873,5,4,125
1704542439,tf,87291,1476325,89873,5,2,125
1704542363,tf,87291,1476325,89873,5,4,125
1704542139,tf,87291,1476325,89873,5,4,125
1704542112,tf,87291,1476325,89873,5,4,125
1704542109,tf,87291,1476325,89873,5,4,125
1704542063,tf,87291,1476325,89873,5,4,125
1704541838,tf,87291,1476325,89873,5,4,125
1704541811,tf,87291,1476325,89873,5,4,125
1704541809,tf,87291,1476325,89873,5,4,125
1704541762,tf,87291,1476325,89873,5,4,125
1704541537,tf,87291,1476325,89873,5,4,125
1704541510,tf,87291,1476325,89873,5,4,125
1704541508,tf,87291,1476325,89873,5,4,125
1704541461,tf,87291,1476325,89873,5,4,125
1704541237,tf,87291,1476325,89873,5,5,125
1704541228,tf,87291,1476325,89873,5,4,125
1704541209,tf,87291,1476325,89873,5,4,125
1704541207,tf,87291,1476325,89873,5,4,125
1704541161,tf,87291,1476325,89873,5,4,125
1704540936,tf,87291,1476325,89873,5,4,125
1704540928,tf,87291,1476325,89873,5,4,125
1704540908,tf,87291,1476325,89873,5,4,125
1704540907,tf,87291,1476325,89873,5,4,125
1704540860,tf,87291,1476325,89873,5,5,125
1704540635,tf,87291,1476325,89873,5,3,125
1704540559,tf,87291,1476325,89873,5,4,125
1704540335,tf,87291,1476325,89873,5,4,125
1704540318,tf,87291,1476325,89873,5,4,125
1704540320,tf,87291,1476325,89873,5,4,125
1704540259,tf,87291,1476325,89873,5,4,125
1704540034,tf,87291,1476325,89873,5,3,125
1704540020,tf,87291,1476325,89873,5,5,125
1704540017,tf,87291,1476325,89873,5,5,125
1704540017,tf,87291,1476325,89873,5,5,125
1704539958,tf,87291,1476325,89873,5,3,125
1704539733,tf,87291,1476325,89873,5,2,125
1704539719,tf,87291,1476325,89873,5,5,125
1704468314,tf,87282,1476325,89873,5,5,125
1704468177,tf,87282,1476325,89873,5,5,125
1704468101,tf,87282,1476325,89873,5,5,125
1704468061,tf,87282,1476325,89873,5,3,125
1704468015,tf,87282,1476325,89873,5,4,125
1704468013,tf,87282,1476325,89873,5,4,125
1704539716,tf,87291,1476325,89873,5,5,125
1704539716,tf,87291,1476325,89873,5,4,125
1704539657,tf,87291,1476325,89873,5,3,125
1704539433,tf,87291,1476325,89873,5,2,125
1704539416,tf,87291,1476325,89873,5,4,125
